20221202	12:47:31	3626a795-16b1-471b-811c-b2dbc246cb7a	GET 	 undefined 	 /goodboys
20221202	12:47:31	90f3ebda-3ca4-450f-a581-c87e08cc52ad	GET 	 undefined 	 /goodboys
20221202	12:47:32	55e2d442-8339-4e5f-8a85-f2cd5c3c5921	GET 	 undefined 	 /goodboys
20221202	12:47:32	298db0a9-e844-45ec-ad16-09c16046fe61	GET 	 undefined 	 /goodboys
20221202	12:48:44	37dac0e0-28a8-4672-8cd1-fe87ce0db03d	GET 	 undefined 	 /goodboys
20221202	12:48:44	40162edc-75cb-4a49-ac58-f3c833bc2d77	GET 	 undefined 	 /css/style.css
20221202	12:48:45	fabdc0ed-d859-42da-a404-31c736e848ca	GET 	 undefined 	 /goodboys
20221202	12:48:45	d009ffed-1bd0-4a6f-8dcd-4f8ac568d84c	GET 	 undefined 	 /css/style.css
20221202	12:48:53	64632e28-6d09-4968-9f05-590d8c7b0bba	GET 	 undefined 	 /new-page.html
20221202	12:48:53	866447f7-b8c4-467e-a070-04a7301a44b0	GET 	 undefined 	 /css/style.css
20221202	12:49:04	c02d33c5-518f-4fa6-8f49-dded1c6b3fb8	GET 	 undefined 	 /goodboys.html
20221202	12:49:04	1050c065-d6f4-4858-9fd0-138614831750	GET 	 undefined 	 /css/style.css
20221202	12:49:34	5bd75d67-da9c-4fab-8b9b-46c584a5df88	GET 	 undefined 	 /goodboys.html
20221202	12:49:34	d3ea655a-ed75-4924-a25a-0141c788e7e7	GET 	 undefined 	 /css/style.css
20221202	12:49:35	692b6375-65f3-492c-a186-941574290c9c	GET 	 undefined 	 /goodboys.html
20221202	12:49:35	8b2e2ec3-da72-44ba-9484-392be70d7a0c	GET 	 undefined 	 /css/style.css
20221202	12:49:35	a895cb8c-5e07-46af-a37d-f51f47befb24	GET 	 undefined 	 /goodboys.html
20221202	12:49:36	f42e0a2e-5f3e-4e7b-8397-f1ab182e605d	GET 	 undefined 	 /css/style.css
20221202	12:50:38	66653f8c-4fe9-4378-adb3-69e98f47ab6f	GET 	 undefined 	 /
